                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0
                      2,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00011287,             0.00011287,             0.00011287
                      8,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001303,              0.0001303,              0.0001303
                      9,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00014733,             0.00014733,             0.00014733
                     10,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00016396,             0.00016396,             0.00016396
                     11,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001802,              0.0001802,              0.0001802
                     12,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00019604,             0.00019604,             0.00019604
                     13,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00021149,             0.00021149,             0.00021149
                     14,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00022654,             0.00022654,             0.00022654
                     15,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00024119,             0.00024119,             0.00024119
                     16,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00025545,             0.00025545,             0.00025545
                     17,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00026931,             0.00026931,             0.00026931
                     18,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00028278,             0.00028278,             0.00028278
                     19,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00029585,             0.00029585,             0.00029585
                     20,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00030852,             0.00030852,             0.00030852
                     21,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003208,              0.0003208,              0.0003208
                     22,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00033268,             0.00033268,             0.00033268
                     23,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00034417,             0.00034417,             0.00034417
                     24,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00035526,             0.00035526,             0.00035526
                     25,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00036595,             0.00036595,             0.00036595
                     26,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00037625,             0.00037625,             0.00037625
                     27,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00038615,             0.00038615,             0.00038615
                     28,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00039566,             0.00039566,             0.00039566
                     29,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00040477,             0.00040477,             0.00040477
                     30,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00041348,             0.00041348,             0.00041348
                     31,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004218,              0.0004218,              0.0004218
                     32,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00042972,             0.00042972,             0.00042972
                     33,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00043725,             0.00043725,             0.00043725
                     34,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00044438,             0.00044438,             0.00044438
                     35,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00045111,             0.00045111,             0.00045111
                     36,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00045745,             0.00045745,             0.00045745
                     37,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00046339,             0.00046339,             0.00046339
                     38,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00046894,             0.00046894,             0.00046894
                     39,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00047409,             0.00047409,             0.00047409
                     40,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00047884,             0.00047884,             0.00047884
                     41,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004832,              0.0004832,              0.0004832
                     42,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00048716,             0.00048716,             0.00048716
                     43,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00049073,             0.00049073,             0.00049073
                     44,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004939,              0.0004939,              0.0004939
                     45,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00049667,             0.00049667,             0.00049667
                     46,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00049905,             0.00049905,             0.00049905
                     47,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050103,             0.00050103,             0.00050103
                     48,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050262,             0.00050262,             0.00050262
                     49,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050381,             0.00050381,             0.00050381
                     50,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0005046,              0.0005046,              0.0005046
                     51,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     52,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     53,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050461,             0.00050461,             0.00050461
                     54,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050382,             0.00050382,             0.00050382
                     55,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050263,             0.00050263,             0.00050263
                     56,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00050105,             0.00050105,             0.00050105
                     57,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00049907,             0.00049907,             0.00049907
                     58,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004967,              0.0004967,              0.0004967
                     59,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00049393,             0.00049393,             0.00049393
                     60,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00049076,             0.00049076,             0.00049076
                     61,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004872,              0.0004872,              0.0004872
                     62,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00048324,             0.00048324,             0.00048324
                     63,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00047889,             0.00047889,             0.00047889
                     64,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00047414,             0.00047414,             0.00047414
                     65,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00046899,             0.00046899,             0.00046899
                     66,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00046345,             0.00046345,             0.00046345
                     67,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00045751,             0.00045751,             0.00045751
                     68,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00045118,             0.00045118,             0.00045118
                     69,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00044445,             0.00044445,             0.00044445
                     70,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00043732,             0.00043732,             0.00043732
                     71,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0004298,              0.0004298,              0.0004298
                     72,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00042188,             0.00042188,             0.00042188
                     73,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00041357,             0.00041357,             0.00041357
                     74,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00040486,             0.00040486,             0.00040486
                     75,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00039575,             0.00039575,             0.00039575
                     76,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00038625,             0.00038625,             0.00038625
                     77,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00037635,             0.00037635,             0.00037635
                     78,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00036606,             0.00036606,             0.00036606
                     79,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00035537,             0.00035537,             0.00035537
                     80,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00034428,             0.00034428,             0.00034428
                     81,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0003328,              0.0003328,              0.0003328
                     82,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00032092,             0.00032092,             0.00032092
                     83,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00030865,             0.00030865,             0.00030865
                     84,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00029598,             0.00029598,             0.00029598
                     85,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00028291,             0.00028291,             0.00028291
                     86,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00026945,             0.00026945,             0.00026945
                     87,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00025559,             0.00025559,             0.00025559
                     88,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00024134,             0.00024134,             0.00024134
                     89,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00022669,             0.00022669,             0.00022669
                     90,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00021164,             0.00021164,             0.00021164
                     91,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001962,              0.0001962,              0.0001962
                     92,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00018036,             0.00018036,             0.00018036
                     93,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00016413,             0.00016413,             0.00016413
                     94,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0001475,              0.0001475,              0.0001475
                     95,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00013047,             0.00013047,             0.00013047
                     96,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00011305,             0.00011305,             0.00011305
                     97,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             3.9402e-05,             3.9402e-05,             3.9402e-05
